timestamp,x,y,vx,vy,v,beta,yaw
3.973,0.8735497110731147,-1.4999992893969372,0.0002898643879228065,-1.206360309319746e-05,0.000290115311394372,-0.041594089652255556,-6.416978788400427e-07,7.270529685342445e-07
4.007,0.8735251020432501,-1.4999992835370248,0.00028703847175125767,-1.2062731248800941e-05,0.00028729182680765274,-0.04200007556298022,-6.476408971704292e-07,7.32961843501237e-07
4.041,0.8735003979136885,-1.499999277678322,0.00028427007490388587,-1.2062647316959965e-05,0.0002845258915215876,-0.04240831553096912,-6.535888713102755e-07,7.329537567450723e-07
4.075,0.8734756006237084,-1.4999992718191253,0.0002815581537000886,-1.2062645805347408e-05,0.00028181643198867584,-0.04281628334301457,-6.595367511935682e-07,7.329507314261015e-07
4.109,0.8734507120758297,-1.4999992659597245,0.0002789017184052174,-1.2062618428059274e-05,0.0002791624532288039,-0.043223489209976367,-6.654848600162298e-07,7.329321217246419e-07
4.143,0.8734257341395537,-1.4999992601001275,0.00027629976295462535,-1.206261117342702e-05,0.00027656295051417036,-0.04362999099300969,-6.714328398755306e-07,7.329132242776764e-07
4.177,0.873400668651131,-1.4999992542397143,0.00027375134801651185,-1.2062749322690135e-05,0.00027401698936759276,-0.04403613394669026,-6.773812379713286e-07,7.329656545162393e-07
4.211,0.8733755174139839,-1.4999992483795124,0.0002712554778970191,-1.2062808025776801e-05,0.00027152356366733066,-0.04444100341718679,-6.833294822595015e-07,7.330226299549439e-07
4.245,0.8733502821992302,-1.4999992425192683,0.0002688112547022178,-1.206277880448746e-05,0.00026908177434948396,-0.04484444504860377,-6.892775563928789e-07,7.330234205390688e-07
4.279,0.8733249647464469,-1.4999992366585735,0.00026641773533691643,-1.2062818186639456e-05,0.0002666906846604417,-0.04524693162574941,-6.952255881968606e-07,7.329970323211714e-07
4.313,0.873299566764023,-1.4999992307979328,0.00026407400129429984,-1.206277885816966e-05,0.0002643493688158967,-0.0456478075881744,-7.011735825842702e-07,7.330197087100499e-07
4.3469999999999995,0.87327408993021,-1.4999992249369352,0.0002617791906129436,-1.2062799868042317e-05,0.00026205697048280223,-0.046047482862672615,-7.071216717671328e-07,7.329988213921374e-07
4.381,0.8732485358927898,-1.499999219075614,0.0002595324104248782,-1.2062909021202243e-05,0.00025981259752945246,-0.046445966444725775,-7.130701688345979e-07,7.317742547221857e-07
4.415,0.8732229062706809,-1.4999992132144813,0.00025733281128520225,-1.2062894966976844e-05,0.00025761539006614073,-0.04684233928593362,-7.190185639157272e-07,7.317652160509873e-07
4.449,0.8731972026532301,-1.499999207352776,0.0002551795309600504,-1.2062905854989339e-05,0.00025546449208971815,-0.0472370660958403,-7.249664442383712e-07,7.317669876362132e-07
4.483,0.8731714266015053,-1.4999992014909345,0.0002530717678379646,-1.2062912793442821e-05,0.00025335909997806444,-0.047629925307371,-7.309147236622682e-07,7.317651870066106e-07
4.517,0.8731455796488765,-1.4999991956289696,0.00025100868192314175,-1.2062788916932665e-05,0.00025129836704055084,-0.04802031282101856,-7.36862088962831e-07,7.330253600863344e-07
4.551,0.8731196633005556,-1.4999991897667178,0.00024898947339968325,-1.2062803851842069e-05,0.0002492815057332164,-0.04840919319051623,-7.428101798974889e-07,7.329603445966495e-07
4.585,0.8730936790354822,-1.4999991839049007,0.0002470133793447852,-1.2063288943795852e-05,0.00024730776881342053,-0.0487978113360489,-7.487610704741593e-07,7.280712945930926e-07
4.619,0.8730676283057577,-1.499999178041699,0.00024507960502327864,-1.2063166526300038e-05,0.0002453763085242899,-0.04918172875558599,-7.547083945507114e-07,7.280978785513583e-07
4.6530000000000005,0.8730415125372251,-1.499999172179185,0.0002431873800421513,-1.2063329351250868e-05,0.00024348639741637003,-0.04956445244865551,-7.606576647565507e-07,7.26928558845893e-07
4.687,0.8730153331301901,-1.4999991663159886,0.000241335976374318,-1.2063341306782596e-05,0.00024163728540113445,-0.04994410488878566,-7.666055051766656e-07,7.269035444614144e-07
4.721,0.8729890914600958,-1.4999991604525804,0.00023952466074750764,-1.2063339856843563e-05,0.00023982824536469913,-0.050321147579847396,-7.725536996169049e-07,7.269248268939461e-07
4.755,0.8729627888771744,-1.4999991545894011,0.00023775269920349213,-1.2063331117884968e-05,0.00023805854308595173,-0.050695512575893956,-7.785018125581587e-07,7.269285631458317e-07
4.789,0.8729364267074567,-1.4999991487253534,0.0002360193855118931,-1.2063225466606446e-05,0.00023632746718498424,-0.051066726636261266,-7.844491092453196e-07,7.281401480051772e-07
4.823,0.8729100062530436,-1.4999991428619137,0.00023432401626098548,-1.206321812383077e-05,0.00023463432363612468,-0.0514355217938602,-7.90397549578375e-07,7.281438580025132e-07
4.857,0.8728835287934491,-1.4999991369973291,0.00023266593297510902,-1.206323670417101e-05,0.00023297844974795156,-0.051801501294603945,-7.963455546556524e-07,7.281640972834192e-07
4.891,0.8728569955830857,-1.4999991311332987,0.00023104442881908923,-1.2063325853201453e-05,0.0002313591405563647,-0.05216477987467159,-8.022942475755168e-07,7.269392446489351e-07
4.925,0.8728304078554283,-1.49999912526909,0.00022945886813191947,-1.2063339244387022e-05,0.00022977575224141208,-0.05252463635140486,-8.082425810351098e-07,7.269346245943739e-07
4.959,0.8728037668214113,-1.4999991194044529,0.00022790858912029023,-1.2062876562006984e-05,0.0002282276012794059,-0.05287923133646502,-8.141884938063698e-07,7.330108770124563e-07
4.993,0.8727770736693954,-1.4999991135385233,0.00022639295556256192,-1.2062787121633923e-05,0.00022671409563918604,-0.053232181946597026,-8.201352928683913e-07,7.329301860682277e-07
