timestamp,x,y,vx,vy,v,beta,yaw
33.209,0.8502319004470963,-1.499994154779362,0.00024660133914671054,-1.2062884156145823e-05,0.0002468962001390778,-0.04887757917069635,-5.7940139388414225e-06,7.323257112864195e-07
33.243,0.8502058690578834,-1.4999941487851856,0.00024661942848355376,-1.2062790849647811e-05,0.000246914263315502,-0.04887362230712538,-5.799965319308976e-06,7.324081954611346e-07
33.277,0.8501798382826632,-1.4999941427907413,0.00024663743381288277,-1.2063207959012698e-05,0.00024693226752303254,-0.048871747201530945,-5.805918410493404e-06,7.284329503255226e-07
33.311,0.8501538081181893,-1.4999941367950576,0.00024665536928990056,-1.206252289941667e-05,0.0002469501481235356,-0.04886542839237423,-5.811865497410811e-06,7.321143252332739e-07
33.345,0.8501277785625037,-1.499994130801029,0.00024667322360977516,-1.2062810831896661e-05,0.00024696799519614734,-0.048863061595677056,-5.817818724924244e-06,7.32371310726808e-07
33.379,0.8501017496128075,-1.4999941248047344,0.00024669101803244246,-1.2063239307343276e-05,0.00024698578930875575,-0.04886127533914841,-5.823770888418016e-06,7.284010833441252e-07
33.413,0.8500757212664547,-1.499994118810588,0.00024670872989075065,-1.2063137146438028e-05,0.0002470034750405774,-0.04885735993411368,-5.82972271271125e-06,7.284985859364442e-07
33.447,0.8500496935211392,-1.499994112814228,0.00024672637317556414,-1.2062871532109189e-05,0.0002470210843024698,-0.04885279773734289,-5.835671536736591e-06,7.32359077791457e-07
33.481,0.8500236663738373,-1.4999941068185316,0.000246743924628975,-1.2062795260313342e-05,0.0002470386110930871,-0.048849019876952914,-5.841622594806481e-06,7.324461697373471e-07
33.515,0.8499976398223557,-1.49999410082352,0.00024676141368894423,-1.2063199375650742e-05,0.00024705609902397267,-0.048847197009862064,-5.847576146566343e-06,7.284898840233483e-07
33.549,0.8499716138642182,-1.499994094825919,0.0002467788266328273,-1.2062860336692883e-05,0.00024707347464626305,-0.04884238520298006,-5.8535239416775724e-06,7.32319555035056e-07
33.583,0.8499455884968478,-1.499994088830975,0.00024679615829936984,-1.2062850678201984e-05,0.00024709078517381463,-0.04883892157574538,-5.859476341074655e-06,7.32465152453277e-07
33.617,0.8499195637176177,-1.4999940828342102,0.0002468134321557255,-1.206328703170976e-05,0.00024710805973601573,-0.048837272629248994,-5.865428835948555e-06,7.285014701771047e-07
33.651,0.8498935395244143,-1.4999940768380258,0.00024683062410952715,-1.206322782495375e-05,0.00024712522830309215,-0.0488336371826006,-5.871380337252657e-06,7.273715727071573e-07
33.685,0.8498675159143185,-1.4999940708415826,0.0002468477375389017,-1.2062945120616698e-05,0.00024714230753365056,-0.048829114500048995,-5.877329656495449e-06,7.312218105873572e-07
33.719,0.8498414928853766,-1.4999940648436663,0.000246864785286657,-1.2063182320882002e-05,0.00024715934654051443,-0.04882670642550255,-5.8832811198374884e-06,7.271652238710884e-07
33.753,0.8498154704347358,-1.4999940588481873,0.00024688176702400514,-1.206323970039736e-05,0.00024717631084099546,-0.048823585083699286,-5.889233941372917e-06,7.273635659650358e-07
33.787,0.8497894485600993,-1.4999940528496274,0.0002468986776438438,-1.2063009092164387e-05,0.00024719319005716227,-0.04881931456742852,-5.895182169004193e-06,7.311868260592772e-07
33.821,0.8497634272585319,-1.4999940468534039,0.0002469155006074434,-1.2062863793208948e-05,0.0002472099858887539,-0.04881540661363772,-5.901133846698084e-06,7.313068745262284e-07
33.855,0.8497374065286241,-1.4999940408565449,0.00024693226068395695,-1.2063315810832842e-05,0.00024722674805700444,-0.048813924792221845,-5.907087019503106e-06,7.272995338533345e-07
33.889,0.8497113863669876,-1.4999940348584584,0.00024694895277311933,-1.2063229372713885e-05,0.0002472434160470993,-0.04881028134638883,-5.913037606575525e-06,7.274027744058517e-07
33.923,0.8496853667719292,-1.4999940288611593,0.00024696557652669436,-1.2062932999421601e-05,0.0002472600055441863,-0.04880580384000347,-5.9189874645381605e-06,7.31260919989425e-07
33.957,0.8496593477407025,-1.499994022862329,0.00024698212716621633,-1.2063347980637003e-05,0.0002472765567215198,-0.048804214689962995,-5.924939445775043e-06,7.273131888511538e-07
33.991,0.8496333292708985,-1.4999940168654908,0.00024699859847287966,-1.2063240518589765e-05,0.0002472930031751327,-0.04880053126912172,-5.930891567956704e-06,7.274076587068372e-07
